p,b,s,n,w
80.05253870606151,79.25230217862105,98.66282049859177,119.0138949510587,96.03717762272345
80.05253870606151,79.25230217862105,98.66282049859177,119.0138949510587,96.03717762272345
129.42803248071598,70.38141832291339,105.72522643085452,190.2311321613904,106.96252900770558
83.04825394568192,106.03947529134632,92.85546648924526,107.53425769842349,169.9521172555348
89.96034702780297,91.39046124380314,92.30880077366577,77.93559469372586,123.70101100725091
68.83716175995754,78.44937016462258,98.03939932995488,95.43704860564388,87.21289970528562
108.68360658972337,85.87262484099479,119.17015013884455,203.45748873415235,293.3630312502717
86.39137682397961,93.93401768522563,102.74489959675721,121.81855225443465,132.81959843602257
72.29832202277804,89.96898439051127,94.3007793482472,97.11317620115895,95.19591651143595
65.63847857348125,89.54889746314137,96.66889858941136,115.6072857501677,118.60213613227408
68.3564073099774,96.62896639972016,97.27617027761887,114.91579836877526,112.00065539209588
68.35626578651687,96.62877116696974,97.27612328507315,114.91566434938309,112.00071927999002
